RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,debt_to_income,total_late_payments,high_utilization,actual,predicted,probability,result_type
0.083436758,50,0,69.0,5400.0,2,0,0,0,0,372600.0,0,0,0,0,0.09034319974932117,Hit (Good Payer)
0.0,68,0,0.407530823,3000.0,5,0,1,0,0,1222.592469,0,0,0,0,0.11934837762988665,Hit (Good Payer)
0.541000777,59,0,3006.0,5400.0,17,0,1,0,0,16232400.0,0,0,0,0,0.19001676466893794,Hit (Good Payer)
0.458882512,32,0,0.680703778,3466.0,8,0,1,0,0,2359.319294548,0,0,0,0,0.40631025252768765,Hit (Good Payer)
0.37406803,48,0,0.23729454,5292.0,6,0,0,0,0,1255.76270568,0,0,0,0,0.2626329157032584,Hit (Good Payer)
0.128983227,49,0,0.6755345,8231.0,11,0,2,0,3,5560.3244695,0,0,0,0,0.28723331274350367,Hit (Good Payer)
0.124524214,84,0,0.360527894,5000.0,6,0,1,0,0,1802.63947,0,0,0,0,0.1174147185912361,Hit (Good Payer)
0.221302482,43,0,0.353319058,5136.0,10,0,2,0,0,1814.646681888,0,0,0,0,0.24892067884467675,Hit (Good Payer)
0.9999999,30,0,0.019433648,1800.0,2,0,0,0,0,34.9805664,0,1,0,1,0.6432967342623448,False Alarm
0.0,45,0,0.231196534,9000.0,4,0,1,0,0,2080.768806,0,0,0,0,0.12549344197914764,Hit (Good Payer)
0.726426434,44,0,0.71244682,9166.0,14,0,2,0,2,6530.28755212,0,0,0,1,0.6067950027303839,False Alarm
0.94544091,62,2,0.145202323,20832.0,8,0,2,0,0,3024.854792736,2,1,0,1,0.5924557587119046,False Alarm
0.017224229,63,0,0.172206948,4000.0,6,0,1,0,0,688.827792,0,0,0,0,0.07355844113065071,Hit (Good Payer)
0.083810055,32,0,0.517461238,6900.0,12,0,2,0,0,3570.4825422,0,0,0,0,0.2826536997453769,Hit (Good Payer)
0.711288521,52,1,2.588728881,8818.0,17,0,1,0,3,22827.411272658,1,0,0,1,0.5957181363675821,False Alarm
0.028687732,62,0,0.156477962,9732.0,11,0,1,0,1,1522.843526184,0,0,0,0,0.10442435746021632,Hit (Good Payer)
0.119606184,42,0,2252.0,5400.0,6,0,2,0,0,12160800.0,0,0,0,0,0.1233200500437601,Hit (Good Payer)
0.720978954,47,0,0.275055405,4060.0,8,1,0,1,4,1116.7249442999998,2,0,0,1,0.832120699308293,False Alarm
0.312358352,64,0,0.437234632,10833.0,8,0,1,0,0,4736.562768456,0,0,0,0,0.1763320294526094,Hit (Good Payer)
0.136101635,36,0,0.792992162,2168.0,8,0,1,0,0,1719.207007216,0,0,0,0,0.22450521413704044,Hit (Good Payer)
0.004169878,76,0,2023.0,5400.0,7,0,1,0,0,10924200.0,0,0,0,0,0.05301079236428634,Hit (Good Payer)
0.9999999,34,0,54.0,5400.0,1,0,0,0,0,291600.0,0,1,1,1,0.6662357737377163,Hit (Defaulter)
0.050641165,50,0,9.0,5400.0,1,0,0,0,0,48600.0,0,0,0,0,0.103455109954437,Hit (Good Payer)
0.460677841,41,0,0.731256086,1026.0,4,0,0,0,3,750.268744236,0,0,0,0,0.3436014772062823,Hit (Good Payer)
0.9999999,37,0,0.494430163,3500.0,2,0,1,0,0,1730.5055705,0,1,0,1,0.555400612748207,False Alarm
0.413721961,58,1,0.384524559,12703.0,17,0,2,0,0,4884.615472977,1,0,0,0,0.440671724075714,Hit (Good Payer)
0.606039995,38,2,0.344933921,2269.0,9,0,0,1,1,782.655066749,3,0,0,1,0.8025969669091597,False Alarm
0.528654139,61,0,1.114933542,8952.0,29,0,2,0,0,9980.885067984,0,0,0,0,0.4194638025500379,Hit (Good Payer)
0.122591835,63,0,4408.0,5400.0,14,0,2,0,0,23803200.0,0,0,0,0,0.13125531220566075,Hit (Good Payer)
0.018081827,51,0,0.287955699,4333.0,3,0,1,0,0,1247.712043767,0,0,0,0,0.13479234332403917,Hit (Good Payer)
0.028479045,77,0,0.404068264,5800.0,15,0,2,0,0,2343.5959312,0,0,0,0,0.13562009018350746,Hit (Good Payer)
0.25445433,49,0,0.283489097,9950.0,17,0,2,0,2,2820.7165151500003,0,0,0,0,0.19670328678467722,Hit (Good Payer)
0.139996185,58,1,0.627946606,14083.0,12,0,4,0,2,8843.372052298,1,0,0,0,0.38310624256344994,Hit (Good Payer)
0.344710353,31,0,0.305292628,7500.0,6,0,1,0,2,2289.69471,0,0,0,0,0.20594914623538785,Hit (Good Payer)
0.9999999,30,0,0.018854988,2916.0,2,0,0,0,2,54.981145008,0,1,0,1,0.6585502203747431,False Alarm
0.9999999,53,0,0.112651646,4038.0,2,3,0,0,0,454.887346548,3,1,0,1,0.9400087719782065,False Alarm
0.020703507,47,0,0.645104381,3400.0,6,0,1,0,2,2193.3548954,0,0,0,0,0.18517528438537503,Hit (Good Payer)
0.686969601,60,1,1.221926025,3000.0,12,0,2,0,0,3665.778075,1,0,0,1,0.5603250661534054,False Alarm
0.233937516,34,0,0.156968707,7956.0,5,0,1,0,2,1248.843032892,0,0,0,0,0.16366530158012624,Hit (Good Payer)
0.128388455,49,0,0.548468582,9500.0,10,0,2,0,4,5210.451529,0,0,0,0,0.25425714492627954,Hit (Good Payer)
0.049325112,30,0,0.428769018,2168.0,5,0,1,0,0,929.571231024,0,0,0,0,0.1645090064522695,Hit (Good Payer)
0.276290951,49,3,2007.0,5400.0,17,0,1,0,2,10837800.0,3,0,0,1,0.6921526556573362,False Alarm
0.617090001,33,0,0.8684786,3200.0,12,0,1,0,1,2779.13152,0,0,1,1,0.551190609422535,Hit (Defaulter)
0.009124772,62,0,0.002352388,4250.0,1,0,0,0,1,9.997649,0,0,0,0,0.06103002113315916,Hit (Good Payer)
0.529129824,64,1,0.713090909,2749.0,10,0,0,0,0,1960.286908841,1,0,0,1,0.5252869336363316,False Alarm
0.093393774,36,0,0.323895028,5791.0,10,0,1,0,0,1875.676107148,0,0,0,0,0.1722427042938347,Hit (Good Payer)
0.041485889,56,0,0.131446658,5370.0,5,0,0,0,0,705.8685534599999,0,0,0,0,0.10899547126057658,Hit (Good Payer)
0.03170577,54,0,0.257096869,6833.0,5,0,1,0,0,1756.742905877,0,0,0,0,0.10472568441249022,Hit (Good Payer)
0.178727963,63,0,0.203027789,4821.0,6,0,1,0,1,978.796970769,0,0,0,0,0.11546040002306941,Hit (Good Payer)
0.048232019,58,0,0.354157764,11700.0,29,0,4,0,4,4143.6458388,0,0,0,0,0.2282814799973632,Hit (Good Payer)
0.062912488,67,0,2104.0,5400.0,3,0,1,0,0,11361600.0,0,0,0,0,0.051572119212246526,Hit (Good Payer)
0.023298391,64,0,0.006054768,7266.0,8,0,0,0,0,43.993944288,0,0,0,0,0.06634992142021749,Hit (Good Payer)
0.058278834,56,0,1760.0,5400.0,10,0,2,0,0,9504000.0,0,0,0,0,0.10324627850689044,Hit (Good Payer)
0.092410065,69,0,0.228994796,44000.0,15,0,3,0,1,10075.771024,0,0,0,0,0.14582582924385185,Hit (Good Payer)
0.54631812,31,0,0.196646183,9600.0,9,0,2,0,1,1887.8033568,0,0,0,0,0.35199187645871655,Hit (Good Payer)
0.009499703,77,0,0.164652162,7445.0,6,0,1,0,0,1225.83534609,0,0,0,0,0.06075723641380303,Hit (Good Payer)
0.014075014,71,0,0.008962427,2900.0,4,0,0,0,0,25.9910383,0,0,0,0,0.06817512802913935,Hit (Good Payer)
0.101898102,44,0,3.0,5400.0,1,0,0,0,0,16200.0,0,0,0,0,0.23362027990836226,Hit (Good Payer)
0.037188929,62,0,0.585467003,5545.0,19,0,2,0,0,3246.414531635,0,0,0,0,0.17694025678456599,Hit (Good Payer)
0.165507635,39,0,0.547702152,6875.0,9,0,1,0,2,3765.452295000001,0,0,1,0,0.268536575948029,Miss (Hidden Default)
0.860759494,38,0,0.347964377,1571.0,4,0,0,0,0,546.652036267,0,1,0,1,0.5939237889180845,False Alarm
0.777402825,37,0,0.092953523,2000.0,4,0,0,0,0,185.907046,0,1,0,1,0.5546894360144647,False Alarm
0.026169231,75,0,0.281524927,4773.0,12,0,2,0,0,1343.718476571,0,0,0,0,0.08716802923617395,Hit (Good Payer)
0.282212146,53,0,0.702367003,12800.0,12,0,2,0,2,8990.2976384,0,0,0,0,0.30531195892329593,Hit (Good Payer)
0.14543936,73,0,0.413463181,5852.0,7,0,1,0,0,2419.586535212,0,0,0,0,0.117435324851233,Hit (Good Payer)
0.026615933,39,0,0.088536813,8583.0,9,0,0,0,2,759.911465979,0,0,0,0,0.1675350204781888,Hit (Good Payer)
0.148761249,72,0,607.0,5400.0,2,0,1,0,0,3277800.0,0,0,0,0,0.06731719855667809,Hit (Good Payer)
0.226663772,40,0,0.157957892,9166.0,9,0,0,0,0,1447.842038072,0,0,0,0,0.20377646808024125,Hit (Good Payer)
0.113285321,43,0,0.41350349,9167.0,18,0,2,0,2,3790.58649283,0,0,0,0,0.26076926284362656,Hit (Good Payer)
0.0,64,0,0.0,5400.0,1,0,0,0,0,0.0,0,0,0,0,0.06201414460634944,Hit (Good Payer)
0.9999999,51,1,0.545816733,6525.0,9,0,3,0,0,3561.454182825,1,1,0,1,0.6937696570573492,False Alarm
0.38380789,48,0,0.364572523,12526.0,13,0,2,0,1,4566.635423098,0,0,0,0,0.2997594687292568,Hit (Good Payer)
0.569824212,40,0,0.361421689,11000.0,18,0,1,0,2,3975.638579,0,0,0,0,0.40546691059936096,Hit (Good Payer)
0.0,47,0,0.0,5400.0,2,0,0,0,0,0.0,0,0,0,0,0.14125139299069758,Hit (Good Payer)
0.284095328,50,0,0.273005509,4900.0,7,0,2,0,1,1337.7269941,0,0,0,0,0.19450730270562067,Hit (Good Payer)
0.380239765,66,0,4014.0,5400.0,17,0,1,0,0,21675600.0,0,0,0,0,0.1810269854960175,Hit (Good Payer)
0.427511899,41,0,0.680709817,7832.0,19,0,2,0,3,5331.319286744,0,0,0,0,0.4567793824653861,Hit (Good Payer)
0.044520439,59,0,2626.0,5400.0,13,0,2,0,1,14180400.0,0,0,0,0,0.08866943003306638,Hit (Good Payer)
0.416292115,70,1,3309.0,5400.0,6,0,1,1,0,17868600.0,2,0,0,1,0.5737102903550348,False Alarm
0.354989857,39,0,0.149197629,6916.0,7,0,0,0,1,1031.850802164,0,0,0,0,0.23313209446418617,Hit (Good Payer)
0.9999999,63,0,0.160550459,2833.0,1,1,0,0,0,454.839450347,1,1,1,1,0.8091880180225165,Hit (Defaulter)
0.017743361,53,0,0.077440465,5500.0,6,0,0,0,0,425.9225575,0,0,0,0,0.138983271863002,Hit (Good Payer)
0.785975781,64,0,0.204689245,2686.0,4,0,0,1,0,549.79531207,1,1,0,1,0.7790479009208464,False Alarm
0.023443526,60,0,0.489839248,3296.0,11,0,0,0,0,1614.510161408,0,0,0,0,0.17487582442299915,Hit (Good Payer)
0.601139886,36,0,0.437545547,6860.0,6,0,1,0,2,3001.56245242,0,0,0,0,0.3838599202798647,Hit (Good Payer)
0.076744076,56,0,145.0,5400.0,8,0,0,0,0,783000.0,0,0,0,0,0.08092335053263428,Hit (Good Payer)
0.9999999,30,0,0.259172521,1280.0,1,1,0,0,1,331.74082688,1,1,0,1,0.8438719196418064,False Alarm
0.02597948,67,0,0.018234165,2083.0,2,0,0,0,0,37.981765695,0,0,0,0,0.07779679778951673,Hit (Good Payer)
0.9440028,35,0,0.426866634,6200.0,4,0,1,0,0,2646.5731308,0,1,0,1,0.5266705788076486,False Alarm
0.9999999,49,0,0.0,5400.0,1,0,0,0,0,0.0,0,1,0,1,0.5958582167776586,False Alarm
0.427217245,55,0,0.138715179,3517.0,5,0,0,0,0,487.8612845429999,0,0,0,0,0.3044841918251578,Hit (Good Payer)
0.200024172,49,0,0.196640448,7500.0,8,0,1,0,2,1474.80336,0,0,0,0,0.13712333444548885,Hit (Good Payer)
0.0,47,0,0.459967262,14050.0,14,0,4,2,0,6462.540031099999,2,0,1,0,0.45950611486445064,Miss (Hidden Default)
0.082357298,35,0,0.483919347,6000.0,8,0,3,0,0,2903.516082,0,0,0,0,0.195473389974103,Hit (Good Payer)
0.022410345,76,0,24.0,5400.0,3,0,0,0,0,129600.0,0,0,0,0,0.04992196738736594,Hit (Good Payer)
0.453199165,67,0,0.561863173,3434.0,9,0,1,0,1,1929.438136082,0,0,0,0,0.2728360799087021,Hit (Good Payer)
0.085309411,42,0,0.466651517,8800.0,9,0,2,0,2,4106.5333496,0,0,0,0,0.22640353651094303,Hit (Good Payer)
0.911813644,29,1,0.163579168,2860.0,5,1,0,1,1,467.83642048,3,1,1,1,0.903338957782475,Hit (Defaulter)
0.353686175,33,2,0.455693743,5145.0,8,0,1,0,0,2344.544307735,2,0,0,1,0.6783507822586237,False Alarm
0.020486334,69,0,0.432007924,7066.0,14,0,2,0,1,3052.567990984,0,0,0,0,0.16266839809756994,Hit (Good Payer)
0.025153717,39,0,0.339893783,3200.0,6,0,1,0,4,1087.6601056,0,0,0,0,0.17407928511565718,Hit (Good Payer)
0.245841666,71,0,151.0,5400.0,5,0,0,0,0,815400.0,0,0,0,0,0.07266674960949286,Hit (Good Payer)
0.558857728,47,0,0.545283463,4250.0,15,0,1,0,0,2317.45471775,0,0,0,1,0.5362707028385617,False Alarm
0.0,65,0,0.0,5400.0,3,0,0,0,0,0.0,0,0,0,0,0.06576385515917976,Hit (Good Payer)
0.008988044,75,0,0.099337748,150.0,5,0,0,0,0,14.9006622,0,0,0,0,0.08939357565979451,Hit (Good Payer)
0.212082805,31,0,0.169932027,2500.0,6,0,0,0,0,424.8300675,0,0,0,0,0.18189091739040536,Hit (Good Payer)
0.622972116,67,0,0.280327124,2200.0,2,0,0,0,0,616.7196728,0,0,0,0,0.3171524799242051,Hit (Good Payer)
0.067802874,69,1,0.2892261,6589.0,9,0,2,0,0,1905.7107729,1,0,0,0,0.3317266103822417,Hit (Good Payer)
0.091085021,30,0,0.039992002,5000.0,2,0,0,0,1,199.96001,0,0,0,0,0.19097974045330296,Hit (Good Payer)
0.045593921,58,0,0.228959862,4633.0,10,0,1,0,1,1060.7710406459998,0,0,0,0,0.11688589362013257,Hit (Good Payer)
0.012597481,84,0,0.032373244,4200.0,3,0,0,0,0,135.9676248,0,0,0,0,0.07606392416242519,Hit (Good Payer)
0.198411913,33,0,0.12436081,4888.0,5,0,0,0,0,607.87563928,0,0,0,0,0.18460466726178662,Hit (Good Payer)
0.916734842,40,0,0.698783295,3040.0,5,0,2,0,0,2124.3012168,0,1,0,1,0.6024004966889454,False Alarm
0.018372703,51,0,0.339159767,3260.0,5,0,1,0,0,1105.66084042,0,0,0,0,0.15199328392203074,Hit (Good Payer)
0.281428637,42,0,1.171025641,3899.0,25,0,1,0,0,4565.828974259,0,0,0,0,0.35895631607466477,Hit (Good Payer)
0.111456247,52,0,0.223615969,8290.0,19,0,1,0,2,1853.77638301,0,0,0,0,0.1673195244272111,Hit (Good Payer)
0.9999999,58,0,0.037904125,7175.0,7,0,0,0,0,271.962096875,0,1,0,0,0.42417074140894584,Hit (Good Payer)
0.04164546,74,0,0.249685195,5558.0,7,0,1,0,1,1387.75031381,0,0,0,0,0.07341849007563922,Hit (Good Payer)
0.9999999,26,0,0.353773585,1907.0,2,0,0,0,0,674.646226595,0,1,0,1,0.5994942160683271,False Alarm
0.755440452,55,0,0.849660136,2500.0,12,0,0,0,1,2124.15034,0,1,0,1,0.563533804517865,False Alarm
0.130546923,55,1,0.212275035,6500.0,6,0,1,0,2,1379.7877275,1,0,0,0,0.3777092860843366,Hit (Good Payer)
0.000321086,55,0,647.0,5400.0,7,0,1,0,0,3493800.0,0,0,0,0,0.0881569344598589,Hit (Good Payer)
0.050233785,57,0,0.119600075,5300.0,11,0,0,0,0,633.8803975,0,0,0,0,0.1381706272805858,Hit (Good Payer)
0.0,46,0,0.002997003,1000.0,8,0,0,0,0,2.997003,0,0,0,0,0.15163252317002476,Hit (Good Payer)
0.018049098,47,0,0.269957819,6400.0,4,0,1,0,4,1727.7300415999998,0,0,0,0,0.13096019198743383,Hit (Good Payer)
0.845505568,46,0,2284.5,1.0,9,0,2,0,0,2284.5,0,1,0,1,0.5338737110084918,False Alarm
0.0,58,0,0.0,2500.0,4,0,0,0,0,0.0,0,0,0,0,0.11518018544537377,Hit (Good Payer)
0.111469595,43,0,0.477913107,5500.0,8,0,2,0,0,2628.5220885,0,0,0,0,0.1927279794851528,Hit (Good Payer)
0.453909218,34,0,0.579684063,5000.0,5,0,1,0,0,2898.420315,0,0,0,0,0.3651012053000099,Hit (Good Payer)
0.599675041,36,1,236.0,5400.0,2,0,0,0,2,1274400.0,1,0,0,1,0.6895717273142377,False Alarm
0.0,48,1,0.371157211,4000.0,6,0,1,1,0,1484.6288439999998,2,0,0,1,0.7143059655795189,False Alarm
0.568195415,58,0,0.151694786,6578.0,4,0,0,0,2,997.848302308,0,0,0,0,0.2839039149663199,Hit (Good Payer)
0.059150888,74,0,0.016033911,5425.0,7,0,0,0,1,86.983967175,0,0,0,0,0.08084756069901085,Hit (Good Payer)
0.203418885,41,0,0.486360192,7917.0,5,0,1,0,1,3850.513640064,0,0,0,0,0.18115118981982184,Hit (Good Payer)
0.552147239,55,0,22.0,5400.0,3,0,0,0,0,118800.0,0,0,1,0,0.4078005036612037,Miss (Hidden Default)
0.355141781,58,0,1265.0,5400.0,9,0,1,0,0,6831000.0,0,0,0,0,0.17026097604501206,Hit (Good Payer)
0.064198614,55,0,0.306355511,6041.0,12,0,1,0,3,1850.693641951,0,0,1,0,0.1255027523718901,Miss (Hidden Default)
0.0,70,0,0.864244086,2916.0,8,0,2,0,1,2520.135754776,0,0,0,0,0.16575323785657026,Hit (Good Payer)
0.037996027,56,0,0.555470102,5200.0,9,0,2,0,2,2888.4445304,0,0,0,0,0.177120630620703,Hit (Good Payer)
0.011506031,76,0,27.0,5400.0,4,0,0,0,0,145800.0,0,0,0,0,0.051089411996442055,Hit (Good Payer)
0.573327988,49,0,0.286145056,6300.0,5,0,1,0,2,1802.7138528,0,0,0,0,0.31932751042384083,Hit (Good Payer)
0.000339453,29,0,0.0,3800.0,6,0,0,0,2,0.0,0,0,0,0,0.1659242624755381,Hit (Good Payer)
0.08604062,43,0,0.440889778,4000.0,3,0,1,0,0,1763.559112,0,0,0,0,0.16008126777376028,Hit (Good Payer)
0.384205782,48,0,1663.0,0.0,15,0,2,0,0,0.0,0,0,0,0,0.30688677150714805,Hit (Good Payer)
0.709416171,41,0,0.463894032,14041.0,10,0,2,0,3,6513.536103312,0,0,0,0,0.40408233041352465,Hit (Good Payer)
0.053655971,36,0,0.512635379,3600.0,4,0,1,0,0,1845.4873644,0,0,0,0,0.16172915973348567,Hit (Good Payer)
0.202720819,75,1,0.079856019,7500.0,5,0,1,0,0,598.9201425,1,0,0,0,0.3436943952782117,Hit (Good Payer)
0.312232343,60,0,0.510414931,6000.0,18,0,2,0,1,3062.489586,0,0,0,0,0.2691286587723019,Hit (Good Payer)
0.112160323,53,0,3038.0,5400.0,8,0,2,0,0,16405200.0,0,0,0,0,0.10695748425108598,Hit (Good Payer)
0.071747713,57,0,0.364514489,5900.0,10,0,2,0,0,2150.6354851,0,0,0,0,0.1395870600471465,Hit (Good Payer)
0.9999999,28,1,0.206554256,7353.0,6,0,1,0,0,1518.793444368,1,1,0,1,0.713248166759925,False Alarm
0.101811822,57,0,0.268981629,9416.0,22,0,3,0,0,2532.731018664,0,0,0,0,0.16923635499994155,Hit (Good Payer)
0.025329456,64,0,3381.0,5400.0,18,0,2,0,1,18257400.0,0,0,0,0,0.11998865860000199,Hit (Good Payer)
0.008233059,34,0,0.340627491,13800.0,4,0,2,0,0,4700.6593758,0,0,0,0,0.14792676032480231,Hit (Good Payer)
0.0,39,0,0.736280826,4500.0,10,0,2,0,1,3313.263717,0,0,0,0,0.30913866856978733,Hit (Good Payer)
0.637132208,46,1,0.34997843,9271.0,10,0,2,0,2,3244.65002453,1,0,0,1,0.6086267184209797,False Alarm
0.189925765,65,0,0.434930746,13500.0,11,0,2,0,0,5871.565071,0,0,0,0,0.1813695405092249,Hit (Good Payer)
0.014549273,63,0,0.412007398,7028.0,12,0,1,0,0,2895.5879931440004,0,0,0,0,0.12222219540631807,Hit (Good Payer)
0.02129198,58,0,0.208223342,12500.0,6,0,1,0,1,2602.791775,0,0,0,0,0.0731923314920343,Hit (Good Payer)
0.99491709,53,1,0.02374324,31250.0,4,0,0,0,1,741.9762499999999,1,1,0,1,0.6366879200841286,False Alarm
0.198048603,43,0,0.424648649,4624.0,11,0,2,0,0,1963.575352976,0,0,0,0,0.2804002812321883,Hit (Good Payer)
0.035990043,51,0,1253.0,5400.0,7,0,1,0,0,6766200.0,0,0,0,0,0.0885760988815879,Hit (Good Payer)
0.197750148,30,0,0.031799042,6886.0,7,0,0,0,0,218.968203212,0,0,0,0,0.17244269239275703,Hit (Good Payer)
0.0,44,0,0.273254129,3450.0,8,0,1,0,0,942.72674505,0,0,0,0,0.18503582811508337,Hit (Good Payer)
0.085459622,60,0,0.245808495,10735.0,9,0,2,0,1,2638.7541938249997,0,0,0,0,0.08628132161039492,Hit (Good Payer)
0.016814976,65,0,0.19235658,11800.0,8,0,1,0,1,2269.807644,0,0,0,0,0.07095450781956497,Hit (Good Payer)
0.435309052,58,0,1.088140286,6500.0,28,0,2,0,2,7072.911859,0,0,0,0,0.3954815564885956,Hit (Good Payer)
0.9999999,31,2,0.086819258,3800.0,1,2,0,0,0,329.9131804,4,1,0,1,0.9359802269769059,False Alarm
0.494078537,35,1,0.161709573,4000.0,11,0,0,0,0,646.838292,1,0,0,1,0.5809125022723438,False Alarm
0.355266409,56,1,0.39416412,26833.0,13,0,4,0,0,10576.60583196,1,0,0,0,0.3974744204851279,Hit (Good Payer)
0.383376101,34,0,0.438140465,4000.0,9,0,2,0,1,1752.56186,0,0,0,0,0.35712201296861446,Hit (Good Payer)
0.192789239,39,0,0.410018553,4850.0,7,0,1,0,3,1988.58998205,0,0,0,0,0.2305177545365658,Hit (Good Payer)
0.0,38,0,0.299703264,13816.0,8,0,2,0,2,4140.700295424001,0,0,0,0,0.1450418058625783,Hit (Good Payer)
0.9999999,42,1,0.231108498,3400.0,5,0,0,1,2,785.7688932,2,1,0,1,0.8722412398912348,False Alarm
0.67232371,47,0,0.795621974,4750.0,15,0,2,0,0,3779.2043765,0,0,0,1,0.5653047510059589,False Alarm
0.041096928,56,0,0.183041345,14269.0,7,0,1,0,3,2611.816951805,0,0,0,0,0.07618692381200408,Hit (Good Payer)
0.552990627,46,1,0.109875295,8900.0,11,0,0,0,0,977.8901255,1,0,0,1,0.5309765792638503,False Alarm
0.052470819,49,0,1.028610983,4333.0,8,0,2,0,1,4456.971389339001,0,0,0,0,0.24403614012778538,Hit (Good Payer)
0.015124374,60,1,0.28919565,12966.0,10,0,4,0,2,3749.7107979,1,0,0,0,0.27292446706332996,Hit (Good Payer)
0.487158975,79,1,3560.0,5400.0,20,0,3,0,0,19224000.0,1,0,0,0,0.4649290064466994,Hit (Good Payer)
0.149075939,39,0,152.0,5400.0,6,0,0,0,0,820800.0,0,0,0,0,0.11559141217390889,Hit (Good Payer)
0.0,66,0,0.109452073,7500.0,10,0,0,0,0,820.8905475,0,0,0,0,0.09535903604305503,Hit (Good Payer)
0.084292465,62,0,0.032315072,3960.0,5,0,0,0,0,127.96768512,0,0,0,0,0.09117527278154404,Hit (Good Payer)
0.277956679,39,0,4090.0,5400.0,9,0,2,0,0,22086000.0,0,0,0,0,0.3157972686832109,Hit (Good Payer)
0.044395191,58,0,0.089454739,7500.0,13,0,1,0,1,670.9105425,0,0,0,0,0.11444353234547816,Hit (Good Payer)
